Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982974822,0.942211641,0.907935931,0.909549811,0.913413226,0.93300062,0.943199917,0.962202863,0.963156699,0.902134156,0.891352058,0.958882806,0.961553407,0.988082951,1.032475586,1.008065279,0.996423294,1.013248627,1.053662958,0.99073418,1.017488422,0.976840417,0.98958467,1.00115404,1.013757999,0.960429836,0.941337319,0.93387386,0.921453437,0.915293998,0.795419908,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191389345,0.180673786,0.126516979,0.109105697,0.096637746,0.088781157,0.082266518,0.075558698,0.071269702,0.058246842,0.055166607,0.055292719,0.066810138,0.073004968,0.054866759,0.080361134,0.089756909,0.109940042,0.165573355,0.239506901,0.304230216,0.408965291,0.335061035,0.298087813,0.283692396,0.297971775,0.268358773,0.281195816,0.299082634,0.297563651,0.223478872,,
Africa Western and Central,AFW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.470111269,0.521084173,0.55801339,0.513858989,0.462384381,0.492656164,0.55430471,0.540061978,0.506709396,0.502905403,0.521688598,0.533552346,0.486595754,0.505790513,0.497074477,0.490733875,0.452812731,0.426842357,0.436976622,0.409795106,0.447816577,0.45157809,0.452100782,0.481623107,0.493504869,0.475576749,0.479775109,0.465165614,0.475817013,0.490837275,0.463150273,,
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.554941321,0.545806579,0.544412918,0.710960887,0.839266378,0.91426457,1.073630274,1.086325156,1.091172539,1.109791073,0.988416416,0.941818497,0.895716802,0.924988063,0.92981108,0.812875088,0.821263802,0.811413506,0.888609845,0.93945736,0.975916772,0.983787081,0.947583107,1.031043636,1.091497057,1.125185364,1.012552124,0.829723217,0.755827619,0.753638205,0.592742968,,
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.844035463,1.26105443,0.689643703,0.644008419,0.649938146,0.612055271,0.62120565,0.469830997,0.576804442,0.96029694,1.031567545,1.056868354,1.233001531,1.361158778,1.427944204,1.360092207,1.363988602,1.433796507,1.428249586,1.492116704,1.64276193,1.768108509,1.565921402,1.656389503,1.795712442,1.665218525,1.590069333,1.880557113,1.85464154,1.749462457,1.544550115,,
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.592152178,7.336724754,7.099907477,6.937047806,6.663237053,6.754131706,7.08273185,7.194088,7.531924033,7.812961694,7.927016355,7.725626659,7.498764979,7.238069466,7.286756008,7.206273645,6.805400082,6.890389929,7.081822365,6.995396198,7.223590934,6.957586407,6.86229282,6.674233189,6.445930663,6.485769241,6.465288117,6.302097864,6.59405703,6.287203804,5.777147992,,
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.799502284,2.749432245,2.911979,3.05282055,3.149925996,3.167199621,3.202337188,3.280784693,3.22404742,3.194447588,3.253567467,3.357638217,3.396585112,3.424829362,3.532319095,3.687724279,3.787710894,3.84041875,4.041063006,4.068963119,4.208452772,4.209483864,4.40120853,4.386230744,4.439510778,4.450524609,4.402999306,4.350683678,4.222333042,4.181158003,3.929077744,,
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.05579609,30.65356558,28.211854,28.61541755,30.39024072,30.8821161,30.52327581,29.65672646,28.56757488,27.6603898,25.86885059,28.1386591,27.28555683,27.22487264,27.54777393,27.2025439,24.81397049,22.44850002,22.328149,19.64553907,19.19279594,19.43178035,20.27565246,21.13391608,21.12277445,21.91450189,22.28070271,21.16549791,19.06094953,20.15334483,20.25227168,,
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.073563154,3.199038186,3.214972108,3.240242229,3.244828392,3.230308037,3.462789185,3.521297803,3.661556758,3.669601022,3.56791849,3.341877067,3.100488668,3.334890879,3.65608487,3.736716865,3.924261841,4.083151439,4.15237521,3.848348227,4.09984414,4.281028145,4.264111002,4.34225013,4.209111895,4.301913806,4.201815869,4.070111687,3.975650744,3.742029812,3.40561754,,
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.579919129,5.71910181,3.009034691,1.438816272,0.802637924,1.034301979,0.752345177,1.016164856,1.077749148,0.967863682,1.123867493,1.149647972,1.00440027,1.133360699,1.227695063,1.463912004,1.4833044,1.732263389,1.90569819,1.521710382,1.471883482,1.685606164,1.961453064,1.896163384,1.895893672,1.85625279,1.767966404,1.88339587,2.013779381,2.196552367,2.404683762,,
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
